topic_id,video_count,median_views,median_like_rate,top_category,category_mix,topic_label,dominant_category_share
51,225,61547.0,0.033983775487831616,tech,"{'tech': 196, 'entertainment': 14, 'research_science': 9, 'fitness': 3, 'gaming': 2, 'food': 1}",51_apple_tech news_purchase links_tech gadgets,0.8711111111111111
16,461,61327.0,0.022483005670398692,entertainment,"{'entertainment': 438, 'gaming': 10, 'research_science': 5, 'fitness': 5, 'food': 2, 'tech': 1}",16_podcast_emmy_celebrity interviews_stephen,0.9501084598698482
17,574,59775.5,0.033736873321006174,fitness,"{'fitness': 196, 'gaming': 129, 'entertainment': 124, 'research_science': 67, 'food': 34, 'tech': 24}",17_love_words_breakup_wholesome,0.34146341463414637
5,986,58448.0,0.03732766345782412,entertainment,"{'entertainment': 914, 'gaming': 31, 'research_science': 19, 'tech': 12, 'food': 6, 'fitness': 4}",5_movie reviews_movie trailers_cast_official trailer,0.9269776876267748
44,163,55768.0,0.04142464078263528,research_science,"{'research_science': 160, 'entertainment': 2, 'tech': 1}",44_particle physics_particles_dark matter_physicist,0.9815950920245399
80,44,53874.5,0.06087925358579098,tech,"{'tech': 36, 'entertainment': 5, 'research_science': 2, 'gaming': 1}",80_native_indian_latin america_crash course,0.8181818181818182
7,692,52749.5,0.02434717264700357,tech,"{'tech': 669, 'entertainment': 11, 'research_science': 7, 'gaming': 2, 'fitness': 2, 'food': 1}",7_iphone_ios_smartphone_apple,0.9667630057803468
1,1924,52151.5,0.0327834406676704,fitness,"{'fitness': 1665, 'research_science': 225, 'food': 15, 'tech': 9, 'entertainment': 8, 'gaming': 2}",1_fitness_workout_exercise_exercises,0.8653846153846154
46,94,46625.0,0.02585855274009958,entertainment,"{'entertainment': 87, 'gaming': 4, 'food': 2, 'research_science': 1}",46_thrones_knight_game thrones_dragons,0.925531914893617
37,156,42584.5,0.014064914992272025,entertainment,"{'entertainment': 147, 'gaming': 4, 'research_science': 4, 'food': 1}",37_spongebob_cartoon_nick_episodes,0.9423076923076923
35,217,34161.0,0.033989834815756036,tech,"{'tech': 216, 'research_science': 1}",35_linux_os_desktop_raspberry,0.9953917050691244
87,81,32993.0,0.034561300829573274,research_science,"{'research_science': 43, 'fitness': 25, 'tech': 5, 'food': 4, 'entertainment': 3, 'gaming': 1}",87_sleep_sleeping_asleep_waking,0.5308641975308642
70,81,30957.0,0.027110766847405113,tech,"{'tech': 70, 'research_science': 7, 'fitness': 2, 'gaming': 1, 'entertainment': 1}",70_sony_earbuds_headphones_headset,0.8641975308641975
